x,y
2344,1689
3567,1659
1782,1703
3209,1694
3572,1527
2421,1582
1872,1694
3630,1542
1786,1435
1339,1227
1709,1483
2342,2049
2773,1709
2094,1262
1013,1135
2530,1953
2481,1590
1492,1421
3935,1506
1728,1658
2823,1436
1227,1625
2680,2069
2262,1656
1897,1483
3862,1563
1332,1587
1114,1172
2564,1235
2678,1944
3121,1698
1479,1669
2383,2011
3773,1560
1427,1464
1343,1050
2592,1635
1906,1682
1829,1278
1442,1598
3206,1693
2627,2028
2100,1665
1249,1635
1108,1179
2380,2169
2082,1268
3572,1662
2234,2019
1218,1187
1338,1230
2012,1881
