x,y
1709,722
1268,726
1842,739
1810,739
1908,752
522,735
1389,706
759,767
778,785
812,773
1798,762
936,767
1860,744
319,761
23,772
51,758
444,849
373,820
1705,748
254,791
329,822
184,789
218,797
1764,776
1618,751
463,808
372,856
952,757
565,789
1465,726
1390,851
597,790
421,724
549,717
1588,747
1455,548
278,766
975,733
514,763
1513,743
672,802
487,780
427,793
178,745
805,962
1442,787
84,749
700,765
1845,804
1547,748
1251,750
390,767
125,770
346,751
638,815
733,749
1274,806
1738,736
1357,712
1402,695
1495,564
1333,719
1638,739
1152,700
1339,862
295,830
843,752
1171,739
1381,755
1890,737
1108,765
780,716
603,743
1772,726
1284,719
1431,728
1440,838
1242,1005
740,816
1216,762
906,798
211,748
523,819
1563,689
1232,693
874,779
1407,788
1418,550
1674,722
1480,839
182,835
1484,768
1096,722
391,1002
638,719
916,721
256,718
