x,y
2143,1086
2568,764
2522,1294
2289,805
2421,757
200,936
2630,728
169,1402
143,1458
2368,755
1773,809
2748,1357
2114,790
1963,837
2484,788
464,1057
2536,1258
22,1192
2693,1336
2548,923
2058,821
2772,1378
2206,821
359,1002
2858,902
1655,1994
2161,875
2696,837
2078,1134
1932,947
2301,970
2196,1043
2834,1380
298,950
2537,1345
2356,683
105,895
2015,927
1736,843
2095,921
2263,783
2719,1220
197,1354
58,1075
544,893
23,1419
2076,1218
206,843
2764,1201
2488,1318
2313,839
2913,1346
2159,1208
2606,1408
2931,1009
336,830
2575,723
2476,1003
2403,939
2527,1669
1873,732
2606,1277
2409,1035
460,1109
1814,967
34,1287
2827,854
1976,1054
2681,719
2757,1041
2250,629
88,992
2088,1064
2671,1294
2270,1084
194,993
2332,1112
2668,1130
3016,1208
3024,1120
645,893
732,979
1905,976
578,950
428,968
489,1237
1730,965
425,843
2548,814
2556,1156
1787,1108
1860,867
304,1016
166,1218
1990,716
2623,843
2416,1126
2225,1140
2929,1126
90,1347
2853,1233
593,1039
542,775
2182,711
2853,1093
2349,1244
1935,1242
2911,899
2395,1337
3011,975
2459,1228
2128,631
2743,804
1999,1323
