x,y
1329,574
1379,922
1591,857
1716,1154
1437,877
1637,1050
1677,1184
1902,1011
1624,879
1728,787
1372,622
1568,1039
1365,480
1939,923
1026,223
1360,833
1414,739
1604,1011
1077,242
1540,800
1728,1040
1304,567
1559,824
1151,432
2266,1203
1734,1180
1801,919
1856,1215
1985,1238
1416,777
1106,386
832,51
1942,982
1249,383
1691,871
1474,1055
1500,675
1531,1092
1805,1194
2158,1238
1718,810
1211,491
1764,796
913,140
1967,1061
1747,853
2117,1077
1940,854
1517,817
984,208
1364,935
1272,540
864,93
1456,597
1837,986
947,181
1226,359
1419,515
2215,1267
1292,410
1065,350
1417,999
1857,822
1914,1267
2183,1113
1298,806
1997,993
1563,1212
1388,677
1609,1238
2029,1050
1672,1262
1605,690
1596,488
1310,745
1969,852
2395,1247
