x,y
2025,1674
3213,1740
1738,1349
2295,1325
2011,1791
1474,2211
1776,1187
1906,1136
1323,1220
1723,1169
2439,1689
1926,1278
2472,1659
2783,1724
1783,1280
1914,1356
1512,1567
1803,2180
2976,1690
1663,2197
1304,1878
2359,1328
1465,1653
2418,1284
1587,1811
2585,1686
1730,1587
2133,1844
2404,1797
2362,2157
2220,1251
2359,1208
1465,1190
2145,2099
1583,1562
1588,1183
1649,1806
1716,1483
2802,1781
2719,1730
2764,2210
2088,1762
1672,1239
2012,1209
1658,1350
2412,1148
1988,2187
2785,1827
1692,1369
2259,1218
2226,1337
2762,1674
2475,1709
1871,1254
1632,1331
2062,1866
1611,1440
2180,2129
2812,1703
2297,1800
2869,1722
2098,1350
2062,1221
3160,1744
2325,1335
2040,1825
1719,1108
1427,1201
1359,1221
2123,1118
1986,1766
1917,1172
2669,1753
1985,1120
2541,1200
1880,1359
2557,1778
2009,1329
1538,1113
2185,1326
1814,1098
1951,2214
2109,1863
2427,1330
2115,1287
2644,1209
2209,1116
2920,1682
1625,1130
3070,1674
2362,1096
2394,2131
2176,1812
1538,1222
2060,1425
1941,1326
2048,1718
2526,1664
2709,1175
2305,1698
2993,1622
2492,1794
2661,1670
1613,1547
1906,1832
3301,1632
1909,1098
2303,1893
2811,1607
3244,1730
1522,1518
1418,1491
2484,2187
1985,990
1445,1110
1511,1417
2875,1808
1799,2135
2275,2103
2641,1815
3183,1764
1616,1964
1978,1490
2728,1232
1544,1307
2490,1212
1927,1752
2281,1135
2166,1169
3126,1703
1533,1961
1795,2216
1304,1500
1152,1933
2344,2184
2065,1109
1473,1598
1893,2195
2187,1416
1700,2181
1635,1906
1432,2239
2193,2192
1664,1839
2417,2103
1398,1287
1811,1490
1624,1781
3323,1722
2372,1778
2407,1995
2234,1805
3082,1612
1718,1896
2316,2058
2582,2058
1842,1794
1862,2562
2575,1394
1448,1431
2163,1949
1349,2613
1974,1870
1713,1533
1363,1956
2417,2601
1910,1643
1379,1157
1994,1632
2227,1446
2209,2605
2502,2064
1942,1437
1554,1809
1286,1223
2879,1589
2478,1889
1738,2550
1749,1624
2991,1763
2725,1837
2710,2227
1833,1017
1387,1884
1633,2233
2557,2183
2655,2133
1480,1968
2790,2184
2428,1824
1694,1730
3168,1614
2185,1711
1165,1518
1457,1813
1802,1619
1761,1820
2376,1662
1505,2189
3061,2118
2017,2155
1434,1711
1322,1851
1150,1779
1234,1926
1199,2237
1192,1666
1372,2236
1063,2265
1861,1563
1564,2202
