x,y
926,916
756,805
916,439
789,882
1140,600
714,831
792,986
892,953
921,764
831,748
987,744
830,884
804,957
1179,749
748,940
1035,533
952,844
893,816
693,484
1340,682
735,893
788,774
717,635
1118,578
532,292
850,958
740,585
801,909
754,960
876,910
1274,658
833,865
758,669
774,840
1168,719
950,884
922,947
1300,787
1006,837
1040,875
685,628
750,778
781,679
1242,747
1057,734
1230,612
826,942
907,942
697,792
951,944
775,737
1114,733
965,916
712,874
662,579
660,474
1183,775
1212,751
674,844
744,914
998,879
1145,757
810,983
765,992
1038,818
877,978
1299,786
1338,683
1049,883
