x,y
1300,1926
2776,1880
2528,1935
1660,1210
2773,1330
1895,1227
2267,1308
1479,1215
2430,1224
1802,1384
2028,1775
2873,1757
1988,1775
2301,2189
2462,1389
1877,1451
1777,1220
2093,1859
2141,1944
2117,1458
2234,1423
1459,1509
1571,2298
1840,1269
1923,1589
2111,1301
1652,1953
2311,1311
1575,1613
2037,1282
1378,1249
1719,1305
2489,1848
2325,1908
2459,1269
2814,1962
1779,1430
1448,1200
2003,1731
1635,1237
2410,1309
2135,2211
2435,1803
2719,1871
2574,1913
1933,1332
1722,1431
2337,1422
2943,1836
2138,1424
1832,1460
1771,1161
2179,1201
2604,1322
2114,1185
1824,1358
1636,1584
2077,1971
2147,1385
2896,1878
1657,1395
2201,1512
1987,1864
2242,1338
1673,1917
2493,1937
1917,1435
2049,1395
2697,1893
3087,1839
2270,1432
1867,1161
1953,1244
2040,1193
1582,1161
1636,1499
1905,1921
1977,1410
1674,1178
1744,1544
2182,1931
1544,1472
2823,1851
2641,1943
1577,1275
1510,1145
1703,1980
1587,2039
1378,1407
2981,1866
1576,1364
2398,1788
1759,1685
1939,2298
1455,2022
2373,2270
2373,1437
2158,2238
2037,1920
1488,1677
2225,1263
2707,1331
3027,1791
2416,1188
2888,1977
2098,1509
2333,1230
1968,1527
1474,1478
2296,1909
2456,2330
2266,1211
3166,1896
2473,1434
2004,1589
1922,1841
2838,1762
2059,1802
2304,2001
1957,1170
2255,1547
2616,1817
2159,2311
1820,1688
2541,1321
1765,2293
3120,1776
2685,1803
2779,1370
1144,1977
2553,1794
3279,1913
2604,2049
1626,1845
1765,2229
2147,2064
2781,1800
1449,1321
2236,1911
2394,2218
2481,1797
2900,1728
2493,2205
1413,2292
1860,2292
2614,1500
2427,1946
1353,2008
2325,2306
2665,1295
1968,1959
2377,1890
1624,1973
1694,1802
2262,2210
1542,1575
1759,1896
2574,2201
1556,1870
3368,1904
1537,2270
1195,1559
1917,1717
1734,1590
2397,2112
1321,1900
3012,1926
2338,1793
3216,1940
1597,2319
2054,1055
1337,1251
1839,1883
2745,1979
1680,2634
1874,1654
1663,2256
1516,2021
1843,2603
1895,1079
1518,1225
3058,2305
1207,1700
2699,2384
1383,1929
1838,1553
1307,2670
2781,2346
2771,1290
1457,1874
3336,1821
2186,1817
2535,2331
1154,1810
1222,1971
2641,2287
2364,2753
1992,2259
1438,1757
1165,2268
2169,2768
1038,2296
1332,2295
1475,2252
3209,1785
