x,y
1203,787
1235,760
1822,797
1412,759
1207,764
915,787
1647,787
889,770
640,793
1696,803
798,775
1069,803
1665,809
1252,873
1034,772
1842,776
760,779
1172,787
1671,737
1555,791
1207,844
746,816
946,771
1863,764
1351,824
1556,822
1239,779
1244,1028
1750,802
1107,811
1101,763
1623,774
1405,778
1732,775
1237,832
1000,793
1139,810
1315,868
855,772
1646,1001
1270,843
1442,811
1589,789
1479,801
583,811
824,786
1274,786
1372,794
1068,765
1058,854
1445,739
1532,747
1615,838
1780,820
979,762
1514,839
1307,749
682,789
717,766
1493,760
1311,813
705,832
1396,841
1804,743
618,783
1172,841
1149,739
439,813
