x,y
853,457
811,455
1311,366
1403,405
1459,237
1337,243
1210,514
589,464
1164,558
998,296
1427,551
789,527
708,476
1354,179
537,552
763,735
1137,144
1314,508
1288,551
1478,601
1409,311
1357,650
1077,243
396,564
1585,616
1290,372
930,486
1115,338
1470,218
1260,156
1200,191
1356,408
1431,285
992,577
852,481
1411,448
1380,622
1062,386
1245,190
1287,278
1352,216
680,567
745,570
1327,177
1088,734
1350,366
561,476
1303,601
1379,181
606,555
1140,348
1292,197
455,570
1376,574
906,589
925,519
633,565
1452,333
1337,431
1399,611
1116,119
971,584
1449,265
645,481
1281,531
1515,451
1330,371
1041,423
1162,156
822,372
1004,383
1220,542
1188,288
1357,460
1334,304
1372,326
1405,177
1134,298
1384,428
331,685
952,399
945,583
1101,476
1088,322
1165,274
1096,175
1213,590
1233,268
1388,252
1102,278
958,518
1100,449
26,712
1335,216
1546,389
1212,110
1516,587
1624,493
1192,167
1327,543
705,714
1050,557
775,737
947,462
1180,372
1447,417
1022,565
440,469
1485,285
1344,603
565,557
1504,430
994,489
1025,529
518,545
1300,415
1162,504
1362,480
1453,506
1311,169
782,463
1257,318
1339,658
1377,488
1132,260
1141,564
460,466
1404,592
1447,310
1351,541
1131,104
822,498
1183,578
494,551
1706,736
824,448
878,586
1292,470
973,486
1160,346
1502,208
1675,738
1304,242
682,606
1585,416
470,563
789,547
1441,211
687,462
1129,612
1188,205
1256,454
1233,161
286,694
605,486
1202,239
1082,218
891,445
1407,546
633,463
723,516
1053,275
1249,109
1067,265
1507,619
992,432
840,407
1167,240
1257,234
630,383
719,692
1459,379
1232,490
757,447
1450,570
1326,489
1197,596
1508,305
14,695
1087,555
902,383
1265,511
1338,261
1495,379
1441,517
1516,345
1080,194
1431,169
1352,301
1467,473
1394,386
1091,402
968,394
1041,376
1122,487
1341,138
1132,397
1017,588
1246,213
662,699
414,558
1283,162
1477,429
1393,505
1546,455
1192,513
1610,428
1048,329
510,465
1116,567
885,556
1291,573
1307,116
1432,477
310,552
144,724
904,492
1193,88
844,564
1398,209
920,433
1101,146
933,369
1130,210
705,568
790,409
876,496
1233,334
788,351
1397,268
1029,453
1459,165
1428,361
1252,379
1316,681
1015,334
628,352
1435,268
1529,570
1015,285
1281,117
688,493
1556,311
1068,437
761,514
1222,430
732,447
1596,641
1212,378
1604,365
1640,605
1399,338
1299,331
1646,503
1202,312
1556,249
1256,587
1373,246
1050,134
1063,681
177,681
1125,533
539,458
1770,789
551,678
1184,695
786,585
871,398
885,699
1659,525
1467,856
1557,525
603,660
349,540
280,560
1573,475
1639,672
1518,227
1455,665
490,441
1070,496
1098,733
1178,427
1618,557
1376,746
445,666
979,292
662,394
1569,610
356,596
1645,375
449,378
582,381
1609,491
