x,y
2156,623
1787,213
1805,374
2004,504
1337,569
1980,315
2143,480
1458,440
1612,412
1346,542
1676,443
1770,327
2138,545
1198,411
1546,335
1863,333
1972,575
1500,228
1816,213
2148,674
1778,416
1468,223
1843,543
1396,584
1527,244
1367,468
1445,369
1749,570
1606,227
1213,688
1997,350
2043,738
1498,296
2035,470
1978,487
1850,403
1752,302
1763,270
1919,622
1700,221
1648,514
1699,368
1585,508
1466,394
1907,445
1279,440
1123,441
1535,418
1483,334
1602,475
1945,550
2023,441
1512,494
1754,477
1831,236
1983,660
1364,403
1900,413
1186,544
1286,403
1285,307
1341,452
1849,691
1448,534
1702,299
2299,534
2212,593
1906,309
1635,364
1399,365
1195,583
1546,544
1944,268
1023,540
1928,358
1865,506
1197,382
1792,441
882,679
1809,568
1992,400
2002,631
1135,500
1094,475
1698,479
2124,718
1739,620
1190,439
1091,688
2190,456
1587,564
1272,477
1993,747
1295,625
2307,593
402,673
1981,300
1760,657
1812,497
969,512
1428,610
732,482
1856,621
1045,740
1180,516
1259,551
1891,768
1684,606
1918,511
1649,572
1180,742
2267,366
1337,695
936,717
1099,850
2238,716
