x,y
2272,1091
1767,1258
2022,877
2184,1202
2024,1472
1790,1355
2293,1404
2239,976
1963,876
2019,1010
2227,875
2377,1352
2112,1252
1870,1586
2388,1108
1861,1022
2073,945
1862,1085
1707,1318
1702,1359
1962,1479
1769,1067
2188,1003
1877,1179
2375,1272
1997,195
2190,870
2121,1546
2331,1162
1980,1258
1825,1502
2272,1197
2116,1347
2127,1020
2363,853
1859,1247
1664,1426
1976,1562
1844,908
2069,1556
2538,991
2318,1263
1631,1513
2062,1173
2221,1461
2113,859
1928,1308
2567,974
1778,1587
2319,1449
2460,1266
2119,718
2395,1195
2429,679
2322,779
1953,1643
