x,y
2314,990
1728,881
2598,901
2265,853
2328,860
1971,1030
2266,938
1693,1733
2220,755
1949,1218
2298,1037
3153,1788
2178,1422
1873,1020
2237,1435
2761,942
1793,921
2221,924
1834,831
2452,962
2535,945
2077,1052
1795,818
2811,1389
2255,1395
2379,1452
2087,1787
1927,1051
2454,1688
2540,1467
2390,968
2318,1712
2028,1058
1793,983
2688,1457
1725,1534
1766,1170
1637,879
2422,1050
1844,1097
2973,1407
2449,1453
1780,1539
1871,848
2139,1480
1827,1209
2270,1494
2926,1425
2336,1435
2418,866
2035,826
1696,923
2726,1376
2213,1022
2618,1358
2465,883
2290,1701
2934,1337
1728,1725
1405,1485
2229,1365
1829,1388
2922,1494
2588,1803
2486,1035
2068,773
3080,1427
2591,1518
2346,1383
2136,1757
2154,1125
2885,1377
2547,1718
2786,942
2051,1776
2133,835
2815,968
2603,1049
2987,1505
2860,1503
2170,1161
1701,1087
1718,813
2515,1748
2118,1287
1968,834
2260,1103
1953,1263
3035,1403
2090,1463
2514,1047
2677,1352
2236,1491
3245,1431
1897,2030
2112,1383
1896,1341
3409,1388
2776,1490
3178,1398
2525,1431
2445,1525
1709,1248
2738,1116
1669,1770
1936,1162
2174,1295
2329,1787
2640,1473
1961,1426
1819,1539
3281,1486
1688,1410
2470,1771
2880,939
2890,996
1865,1430
3198,1341
2664,960
1436,1141
1840,1493
2681,1686
2803,1893
2418,1701
2541,1617
2723,963
2318,1572
1570,1434
2177,1736
3345,1455
1540,2060
1566,1139
2008,2065
2410,1143
1596,1520
1686,1535
1916,1497
1966,1766
2029,1147
1761,1080
2446,1361
3010,1313
3158,1790
2028,1418
1878,1728
1613,1471
1968,1698
1416,1356
1776,1420
3115,1355
2318,2121
1757,1738
2072,1226
2630,1694
1569,894
2017,1254
3436,1455
3111,1466
2538,1335
2746,1765
1674,1313
2368,2277
1454,1258
1820,1767
1604,986
1311,1755
1585,1761
2883,1824
2664,1800
1430,1741
3283,1359
1475,1487
