x,y
2359,1167
2718,1711
1715,1434
1810,1037
1786,1804
2345,1128
1677,1252
2396,1269
2268,1184
2678,1716
1588,1789
2886,1647
1710,1131
1461,1650
1821,1255
2114,1865
1562,1965
2334,1199
1980,1659
1855,1583
1574,1182
2784,1685
1596,2191
1597,1469
1981,1766
1869,1251
2399,1147
1786,1371
1907,1166
2071,1200
2644,1742
1884,1349
1771,1182
2092,1281
2465,1721
2074,1745
1418,1472
2950,1715
2229,1209
1974,1108
2040,1102
2035,1822
1732,1347
2176,1797
1608,1331
2300,2043
2532,1755
1857,1364
2362,1763
1664,1827
1451,2202
1667,1357
2117,1108
2034,1689
1606,1122
1504,1528
2282,1289
2084,1322
2005,1305
2163,1400
1928,1317
1580,1555
1529,1224
1988,1612
2859,1705
2082,1844
1325,1212
2449,1649
2479,1779
1986,1197
1837,1130
1603,1431
1899,1824
2159,2088
1962,2169
1841,1550
2317,1322
1779,1601
2789,1771
2262,1127
2187,1107
2218,1326
1788,2177
1916,1742
2340,1079
1522,1112
2189,1225
1942,2209
3161,1739
3296,1696
1500,1414
1296,1457
3112,1697
2569,2025
1694,1095
1468,1593
2589,1158
2494,1884
1752,1804
2049,1407
2369,2120
1449,1176
1703,1890
1786,1088
2270,2068
1601,1953
1703,1515
3035,1650
2698,2190
2861,1793
1469,1946
2579,1670
2624,1787
2649,1640
3268,1614
2410,1311
1625,1887
2468,1193
1966,1483
1970,981
2335,2156
2790,1598
3218,1701
1435,1097
2291,1865
1599,1520
1795,1466
1532,1301
2220,1791
1618,1768
2740,1637
1931,1428
1424,2219
2701,1220
1438,1421
2473,2165
2282,1779
1785,2127
2174,2169
2969,1604
1961,1851
1831,1786
1889,2183
1691,2168
1734,2518
1685,1719
2629,1202
1821,1014
2712,1803
1148,1931
2542,2145
1543,1803
2150,1932
2531,1188
1891,1086
2492,2039
1560,2181
1739,1598
1363,1944
2167,1705
1274,1215
2852,1560
1367,1157
2687,1154
2408,2565
2975,1737
1358,2601
2410,1800
1530,1942
1901,1628
2393,1960
1148,1772
1447,1804
1311,1842
2286,1675
3038,2094
1423,1691
2561,1365
2215,1429
2009,2130
3056,1581
2397,2067
1840,2539
1381,1878
1223,1926
3144,1585
1160,1515
2222,2565
2777,2157
2519,1642
2642,2112
1498,2177
1061,2256
1360,2227
1396,1275
2364,1649
1628,2222
1197,2229
1180,1664
