x,y
1032,1379
1757,1272
1344,1419
2130,1579
2024,1580
1036,1466
1577,1280
1409,1319
897,1458
1331,1289
1227,1205
1278,1641
1285,1193
2176,1642
902,1341
844,1391
1884,1596
1629,1337
2275,1641
1733,1707
1459,1401
1074,1531
1228,1698
1127,2643
1464,1277
1232,1364
1863,1671
1487,1704
1934,1673
1429,1679
1619,1611
1626,1130
1473,1182
1193,1680
970,1338
2053,1733
1245,1470
1544,1216
1377,1547
1177,1539
1223,1654
1258,1672
1730,1558
782,1436
1579,1680
1143,1298
960,1476
1584,1590
1332,1695
1080,2659
1678,1676
1784,1716
2340,1659
932,1700
1988,1531
978,1731
2118,1672
1038,1305
1581,1389
1841,1245
1564,1133
2083,1515
1143,1181
1322,1533
1745,1362
1507,1611
1811,1595
2223,1561
1726,1136
1463,1514
1917,1523
1087,1590
852,1542
1977,1757
1041,1751
1010,1165
2323,1580
1106,2375
1196,2077
2303,2729
1558,1516
2008,1964
1095,2241
1718,2363
960,1545
1263,1985
1616,1764
829,1634
2444,2558
2321,2563
2442,1630
