x,y
1627,2240
2081,1996
2369,2020
1879,2407
2006,2103
2745,2098
2579,2028
2430,2718
2305,2611
1736,2559
2149,1969
2572,2674
39,2342
2315,2244
2435,2565
2711,2055
2250,1989
2495,2611
33,2400
145,2196
2343,2684
2646,2006
2782,2119
1874,2032
2578,2508
2067,2346
2032,2021
2359,2554
2607,1899
1663,1921
2682,2687
2012,2421
1756,2052
2479,1903
46,2565
2412,2144
2271,2513
2770,2641
1916,2136
1624,2132
2145,2382
1859,2501
2844,2241
2239,2164
2254,2420
2173,2053
1486,2217
1548,2015
2634,2480
1927,1962
2638,2287
1696,2542
101,2165
2304,3018
2739,2336
2236,1856
1491,2068
2242,2288
2929,2383
2515,2048
2803,3097
2829,2395
226,2150
1667,2237
1946,2486
1759,2477
2121,2222
2897,2483
2523,2398
1894,2321
2385,2423
1794,2169
331,2273
2419,2009
2718,2525
1954,1799
2035,1875
2010,2312
2184,2660
2921,2216
2833,2114
2112,1786
2353,1970
1754,2318
2163,2545
1522,2379
161,2330
114,2001
1803,1890
