x,y
1414,721
1314,793
901,752
1579,789
1887,745
480,811
1743,765
901,801
1836,775
447,771
1380,768
664,787
967,833
1601,772
823,806
1398,778
1895,770
574,785
690,772
1431,739
820,762
998,866
1418,802
784,767
958,771
1163,751
543,776
1486,769
1195,739
1344,787
1312,819
1454,796
1786,1032
1102,818
858,810
991,830
1815,760
1411,1004
1621,757
607,765
1029,841
1200,813
498,806
1281,743
1159,777
1008,1023
518,776
1028,782
428,786
1075,865
758,794
1126,793
887,811
1743,790
1060,747
336,814
395,789
1247,745
985,764
1905,830
1372,833
816,844
858,756
1801,724
458,830
1065,806
641,766
1235,802
1504,798
1855,787
1269,834
1540,814
922,782
928,839
1876,715
729,761
1154,838
1557,738
903,735
471,765
195,812
368,784
1736,745
