x,y
2651,1711
3171,1809
3292,2355
2410,1408
2641,1402
1668,2330
2147,1871
2770,1377
2366,1948
1115,1781
2275,2337
2757,1916
2964,1801
2816,1931
1375,1976
1752,2360
2496,1625
1641,1717
4447,2442
1604,2299
4874,2042
1362,2118
2308,1968
4983,1850
2157,2133
1653,1897
2504,1397
1685,1765
2082,1853
2786,1781
1879,1779
1743,2301
2227,2003
1965,1760
2168,2355
1564,1832
2703,1919
2897,1820
2138,2305
2156,1780
1907,2144
1322,1362
1664,2208
2996,2068
2367,1783
1214,2192
3184,1921
1580,1421
947,1784
1831,2219
1961,2108
2381,2373
1394,1384
1418,2382
3112,1817
2653,1784
4492,2508
2355,1435
1213,2333
969,1834
2149,2000
4439,2533
1729,2052
2231,2155
2485,1718
1305,1710
1954,2296
1900,1395
2491,2372
2052,2233
1573,2065
2457,1990
3062,1867
2218,1741
1112,1694
2446,1832
1357,1621
1223,1799
1726,1866
2682,2070
1343,2356
1925,1905
2019,2354
2657,1866
1828,2376
3074,1726
2073,1338
2161,1369
2000,1359
4408,2388
1529,2359
4533,2485
1462,2059
3138,1986
5001,2201
2808,2044
2300,1826
2556,1412
4700,2530
4279,2395
2719,2327
2076,1767
5146,1964
2743,1407
971,2253
955,2106
2489,2153
1797,1354
4514,2087
1777,2138
1799,1749
2629,2358
1543,1949
5052,2363
1225,1374
1219,1975
4512,1987
1072,1901
2073,2103
4470,1872
1241,2140
3258,2100
1811,1406
1341,2166
1434,2261
2540,2000
4742,2453
1134,2309
2745,2180
1406,1735
1474,1408
2928,1979
1516,1721
2336,2262
2837,1635
2031,1632
4638,1993
1617,2148
2420,1610
2376,2068
2971,2856
2940,2145
1312,1849
4591,1832
4618,2425
1445,1874
3285,2210
1906,1647
1807,1980
4396,2538
5142,2131
2555,2290
2829,2299
4853,1872
2033,1972
5085,2021
4162,2411
4746,1977
4975,2125
2977,1661
2542,1821
2246,1579
2641,1662
5310,2115
2158,1654
3313,2402
4539,2340
1517,1208
3264,1772
4749,1839
791,2191
4480,2226
5013,1941
3048,2304
3182,1674
4664,2277
4974,1795
1142,2101
1600,1617
3303,1925
4781,2060
