x,y
1639,848
1715,1043
1429,881
1299,586
1450,678
1326,951
1440,1116
1537,716
1340,660
1392,676
1714,1015
1460,639
1272,585
1397,750
1500,840
1437,1245
1461,609
1371,737
1401,932
1268,740
1365,811
1698,742
992,897
1310,639
1326,580
1343,1079
1240,633
1776,759
1539,954
1884,919
1731,1128
1494,884
1372,708
1450,1148
1494,677
1052,1150
1342,845
1461,766
1513,597
1811,775
1069,952
1580,833
1512,817
1305,876
1673,879
1608,1234
1842,796
1571,648
1395,579
1595,689
1584,885
1834,870
1246,584
1231,682
921,983
1466,824
1629,748
1686,1118
1433,1086
1621,968
1193,644
1204,737
1495,555
1727,978
1264,780
1158,929
1669,786
1860,956
1682,910
1505,1012
928,944
1291,696
965,1005
1784,934
1139,741
1315,1151
1766,809
1212,831
1062,770
2684,1083
1348,770
1330,1377
1252,948
1646,1192
1124,650
1531,779
1725,816
1578,1108
831,1020
1047,816
1146,843
1274,1328
1540,1030
1207,907
1617,785
998,1113
1062,974
1393,995
2210,931
1151,707
1408,796
2200,887
1176,593
1089,1088
953,909
1822,1048
1488,1375
2061,840
1956,805
774,1104
1601,1050
1402,1245
1246,1043
1477,1254
1562,581
1526,1120
1965,968
2017,746
1433,1009
1123,1021
1031,1219
2143,1109
1885,750
1328,1011
1572,1279
1941,1093
888,638
1925,1042
1201,1000
1136,1439
1788,674
1193,1300
1142,1220
1777,1157
2065,1039
1382,1421
1185,1152
741,942
1253,1236
1119,1326
868,1131
