x,y
1772,477
1884,503
1805,1012
2052,644
1827,404
1819,443
1770,1015
1797,678
1613,783
1579,1065
1434,822
1984,785
1849,344
1602,677
1641,909
1746,383
1765,507
1720,432
1679,644
1670,787
2098,846
1985,584
1750,842
1936,686
1831,466
1740,810
1838,375
1991,479
1930,644
1745,708
1697,665
1741,585
1600,1017
1760,757
1798,601
1970,900
2046,731
1867,606
2010,672
1920,776
1737,920
1684,717
1681,1094
1944,947
1801,343
1801,971
1643,667
2137,688
2075,706
2166,699
1734,646
1767,434
2096,807
1725,467
1974,814
1987,639
1788,923
1563,714
1880,944
1991,537
1839,967
1636,734
1875,772
2151,956
1718,976
1870,314
1623,608
1726,1118
1976,349
1772,334
1644,871
1608,840
1513,624
1753,1076
2076,785
1570,907
2077,650
1747,530
2005,355
1912,377
1797,851
1849,680
1860,888
2002,733
1847,575
1913,862
1690,564
1933,530
1493,660
1562,654
1872,415
2251,1101
2094,899
1867,830
1927,450
1657,982
2174,1015
1949,1015
2047,841
1590,573
1679,939
1703,1131
1688,618
1585,1032
1655,403
1544,952
1546,847
1912,1008
1817,1068
1607,980
1759,1106
1664,1059
2026,936
2222,768
1738,1010
1833,514
2057,983
1986,876
2105,951
1546,810
1876,1032
2028,374
1715,407
1490,900
2626,463
1681,489
1548,739
2141,641
1985,421
1698,875
1981,300
1445,797
2225,696
1699,328
1418,843
2134,767
2513,1010
1587,1096
2295,656
2347,576
2288,880
2303,824
1749,308
2270,755
1490,768
1647,536
1527,413
