x,y
1606,1093
1637,1087
1741,1183
2000,1084
1045,296
1463,918
1911,1018
1203,403
1880,1127
1814,1121
1484,1074
1575,1149
1910,950
1574,1178
2073,1148
1640,1184
1734,1043
1935,1257
1778,1039
1377,577
1970,1151
1390,490
1234,439
1096,304
1973,1218
1546,1138
1748,910
1005,228
1177,456
1877,1172
938,179
1499,921
1778,1211
1411,847
1433,882
1968,984
1512,1078
1369,795
1803,1205
1331,514
1303,479
1871,941
1847,1006
1330,572
2223,1284
1807,980
1001,288
2179,1249
1903,866
1049,335
2246,1202
1601,1023
1062,227
864,90
1835,1182
1562,924
1370,625
1071,350
1203,346
1697,950
1306,568
1245,375
1236,487
2204,1129
1970,867
1100,384
1967,954
2271,1276
2009,1259
1592,860
2029,1240
1534,1113
1627,905
969,198
1916,1076
1145,432
1275,429
837,68
1556,818
919,153
1936,1284
907,104
1766,807
1412,738
810,35
1224,360
1349,840
1417,784
1365,478
1725,816
1860,1242
1205,484
1416,1005
1456,599
1373,955
2281,1218
1750,874
1500,681
1515,823
1948,865
1570,1237
1262,544
1415,514
1466,1064
1301,815
1688,883
1608,1262
1868,830
1388,679
2014,1011
1678,1280
2041,1059
2143,1093
1610,696
2425,1266
1308,745
1598,487
